,manner_degree,title,price,like,chat,view,category,time,article,total_area_revised
0,54.5,애플워치se 44mm GPS 판매 풀박 스트렙증정 애플워치,310000,0,0,25,디지털기기,0.024,"
풀박입니다.
사진 상태 보심 알겠지만 상태 매우 좋아요
추가 스트랩+케이스 +본품 +충전기 +기본스트랩입니다
상태 매우 좋구요.
애플워치 택배 사기 매우 많아서 안전하게 직거래 하세요
배터리성능 96%입니다.
인사동 직거래에요!!
",경남
1,38.6,애플워치7 41 wifi 미드나이트,370000,0,0,21,디지털기기,0.014,"
작년에 구매했고 잘 사용안해서 판매합니다.
배터리 성능 99%입니다.
스트랩 2개에 풀커버 케이스 있어요
",경기도
2,37.7,애플워치,130000,1,0,78,디지털기기,0.014,"
애플워치로삽니당
",서울
3,36.6,애플워치 나이키 se 44mm gps+셀룰러 팝니다,320000,6,1,224,디지털기기,0.017,"
애플워치 나이키 se 44mm gps+셀룰러
애케플까지해서 528,000원에 구매했구요
애케플 내년 5월까지로 아직 남아있습니다
배터리 성능 98%로 입니다
구매한지는 1년이 넘었지만 실사용 10회정도 밖에 안되고 필름부착하고 사용해서 실기스, 생활기스조차 없구요
하지만 밴드는 시간이 지나서 그런지 색바램이 조금 있습니다
추가로 전면필름1, 후면필름2 같이 드리겠습니다
에누리도 받을 수 있으니 연락주세요
",강원도
4,36.9,애플워치se 40mm 팝니당,260000,1,0,15,디지털기기,0.016,"
착용 4회했고 갤럭시로 바꾸면서 팔게되었습니다
생활기스, 찍힘 등 파손부위 X
스트랩 끼워서 드리고, 케이스는 별도로 없습니다.
배터리 성능 100%
충전기선도 같이 드립니다(충전본체X)
",경기도
5,42.6,애플워치 정품 스트랩(40mm),25000,3,0,156,디지털기기,0.017,"
사고 뜯어 보기만 했습니다!!!!
완전 깨끗하니 사가세용~
",대구
6,38.0,애플워치5 44 스테인리스 실버,400000,0,0,77,디지털기기,0.018,"
깨끗한 s급 상품입니다
박스없이 본체+충전선+폼폼푸린루프(지금 껴진 노란뚱땡이)+기본실리콘루프(사용감있음) 드려요
직거래는 독산역에서 합니다
택배거래시 노리턴 조건으로 선불로 보내드려요
",서울
7,36.8,애플워치7 스타라이트 GPS 41mm,399000,0,0,23,디지털기기,0.019,"
이미 44를 사용중이라 보관 해두고있는 41은 판매하려고합니다 :) 
2022년 6월 10일에 구입했습니다 
실사용 한달 정도 이고 , 화면 크기 생각보다 큽니다. 
밴드는 미개봉 상태이며, 워치는 기스 없이 상태 좋습니다.
",대구
8,39.1,애플워치 40mm 스트랩,6000,0,0,17,디지털기기,0.02,"
거의 새상품 입니다. 엄청 가벼워요’!
",경북
9,42.9,애플워치se 44mm 미개봉 삽니당,300000,0,0,1,삽니다,0.021,"
워치 미개봉 삽니다 연락부탁드려요
",충북
10,50.8,애플워치 스트랩 2개 + 케이스 / 38-40 애플,21000,0,1,128,기타 중고물품,0.021,"
38-40사이즈 애플워치 스트랩입니다
왼쪽 케이스에 있는 스트랩은 사이즈만 조절하고 상용하지 않았어요
오른쪽 화이트 골드메탈 스트랩+케이스 같이 하시면 예뻐요~ 상태 좋아요
동강대 후문에서 거래 가능합니다
",광주
