,manner_degree,title,price,like,chat,view,category,time,article,total_area_revised
0,48.3,삼성 갤럭시 워치 46mm 블루투스 풀박스 시계 Galaxy Watch SM-R800 Bluetooth 와치,70000,1,0,52,디지털기기,0.017,"
갤럭시 워치 46mm (SM-R800)
실버 색상
풀박스
미세생활기스 이외엔 전체적으로 깨끗하고 깔끔합니다! 상태 양호🙂
은색 베젤링과 액정보호필름 부착되어 있어요!
슈피겐 필름 2장 서비스로 챙겨드릴께용😊
부담없이 사용하실 분만 연락주세요❤
예민하신 분은 사절 :)
인천 청라5단지. 7만원.
❣️입금순으로 우선 판매
❣️선입금시만 '예약중' 으로 예약해드립니다.
❣️당일거래 아니면 '선입금' 부탁드립니다.
❣️절충 및 교환, 환불은 어렵습니다.
❣️택배 거래시 착불
",인천
1,37.6,갤럭시버즈2 프로 미개봉새상품(+갤럭시워치5 30% 쿠폰),240000,1,0,23,디지털기기,0.024,"
9월3일구매(22년7월제조)
버즈2프로 미개봉새상품 팝니다
정가 279000원 네이버 현재 최저가 2530000원이에요
미개봉새상품이니 선물용으로도 좋아요
구매하시면 갤럭시워치5 30%할인쿠폰도 같이드릴게요
이것도 당근에서 10000원정도에 거래되는거예요
하남검단산역쪽 입니다
늦게자는편이니 아무때나 편하게 연락주세요
",경기도
2,52.4,갤럭시 워치5 44mm 그라파이트(블루투스),300000,14,5,762,디지털기기,0.015,"
지난 주 예약판매로 구매한 제품
아이폰 및 애플워치 사용이 그나마 편해서
개봉도 안 한 새제품 그냥 판매 합니다.
3만원 사은품 신청 가능합니다.
 (운영 정책에 의한 URL 자동 숨김) 
",서울
3,38.0,겔럭시 워치3골프에디션,125000,1,0,58,스포츠/레저,0.019,"
라운딩때만 쓴제품이며 
컨디션 좋습니다
기스거의없고요 
줄 여유분  써비스로 새거 하나드립니다
다른거 선물받아서 분양합니다
",대전
4,38.8,갤럭시 워치4  클래식 42mm,181000,0,0,333,생활가전,0.016,"
갤럭시 워치4  42mm 두번째사진 생활기스 있습니다
박스 , 충전기 있구요 
공도입니다
",경기도
5,37.1,갤럭시워치5 정품스트랩,10000,1,1,71,디지털기기,0.016,"
갤럭시워치5 개봉후 빼서 바로보관중이에요.
비대면거래
문거리거래
택배가능(비용별도)
쳇주세요.
",경기도
6,37.6,갤럭시워치 1세대 SM-R805N 팔아요(충전기 포함),50000,1,0,25,디지털기기,0.017,"
해당 제품 출시했을때쯤 구매했고, LTE모델입니다. 개통해서 사용하셔도 되고, 블루투스모델처럼 사용도 가능합니다.
약간의 생활기스는 있고, 작동은 정상적으로 잘 됩니다.
봉천동 거래 원해요.
",서울
7,37.6,갤럭시워치4-40mm,120000,6,1,100,디지털기기,0.018,"
스트랩부분이 살짝 색이 바랜거말고는 멀쩡해요 상자랑 없어서 저렴하게 내놔요
다른 부분도 이상 없구요! 충전기랑 전부 포함해서 보내드려용:) 
기타 문의 사항 있으면 언제든 당근톡주세요
미평동에서만 거래 가능합니다!
",전남
8,37.8,갤럭시 워치 5 30% 할인쿠폰 팝니다,25000,1,2,102,디지털기기,0.026,"
배송지 변경 혹은 직거래 합니다.
판매금액에 25000원 더해서 보내주시면 됩니다.
",경기도
9,45.8,갤럭시 워치4 골프 에디션 44mm 미개봉 새제품,190000,4,0,53,디지털기기,0.017,"
갤럭시 워치4 44mm 블랙 블루투스 버젼
미개봉 새제품입니다
골프에디션이에요
아이폰으로 넘어가서 정리 하고 있어요
",경기도
