title,price,like,view,article,category,location,link
애플워치3,"100,000",0,0,"사진외에는 정상작동합니다 
충전기X",웨어러블(워치),충청남도 천안시 동남구 신방동,https://m.bunjang.co.kr/products/198464297?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치7 gps 미드나이트 (41mm) 풀박스 단순개봉,"390,000",4,148,"애플워치7 미드나이트 gps (41mm) 풀박스 단순개봉 —&gt; 새상품급으로 상태가 매우 좋습니다.
상태: SS급, 배터리 효율 100% 약간의 여분 보호필름 보내드려요!
애플워치 배송 오자마자 액정, 모서리 보호필름 붙힘.
보호필름을 잘 못 붙히는 관계로 약간의 먼지와 들뜸이 있음.
애플워치 실 사진 궁금 하시면 자세히 찍어서 보내드립니다!
우체국 당일 무료배송 —&gt; 그 다음 날 도착.
애플워치 판매 후기 1건 있습니다. 신뢰와 정직한 거래로 판매합니다! 가격 협의 가능.
기타 궁금한 사항 있으시면 빠른 답변 가능합니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/191607235?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 4세대 44mm 로즈골드 풀박스,"190,000",4,190,생활기스 정도만 있고 워치 본체 스트랩 충전기 박스 풀이구요 쿨거환영입니다,웨어러블(워치),전국,https://m.bunjang.co.kr/products/196885429?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 밀레니즈 루프 실버 44mm 팝니다,"100,000",0,1,"애플워치 밀레니즈 루프 실버 44mm  팝니다

구입처는 6주전 쿠팡이고 구매후 시험삼아 실착 5분후

미착용한 새제품 급 입니다

직거래 수유동 저희집 앞으로 오시면 가능하고

택배 거래시 착불로만 가능 합니다

네고는 어렵습니다",웨어러블(워치),서울특별시 강북구 미아동,https://m.bunjang.co.kr/products/198463829?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치7 45mm 스타라이트 wifi,"430,000",0,3,"•올해 3월 구매 제품입니다
•액정 생활기스는 당연히 있다만 문제없습니다.
•스트랩 포함 가격입니다.
•배터리 효율 100%입니다.

+1만원 추가시 전용충전기도 드리겠습니다.",웨어러블(워치),강원도 춘천시 후평1동,https://m.bunjang.co.kr/products/198463712?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치7 나이키 스타라이트 41mm,"350,000",2,146,"애플워치7 나이키 스타라이트 41mm
블루투스 모델
본품만 판매
상태 S급
충전기도 드림
배터리잔량 93퍼 입니다
언능 사가세요❤️",웨어러블(워치),부산광역시 해운대구 좌제4동,https://m.bunjang.co.kr/products/197368585?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
UM2 3in1 애플 아이폰 맥세이프 멀티 고속 무선 충전기 워치 버즈,"25,000",3,107,"원가 37900원짜리 택배비 포함 25000원에 판매합니다!
상품확인차 단순개봉만 하고 실사용 한 번도 하지 않았습니다.",케이블/충전기/주변기기,광주광역시 남구 백운2동,https://m.bunjang.co.kr/products/192234929?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치6나이키에디션 셀룰러44스그 내용필,"500,000",0,10,"애플워치6나이키 44미리 스그 알루미늄
판매합니다.모두공홈에서구매했구요.
사진상내용물다드립니다. 나이키스포츠벤드는미사용입니다 개봉만했네요. 모든벤드사용감거의없음
또한 사놓고5회미만착용으로 새상품으로보셔도됩니다.
하자나기스일절없음.
사놓고 거이방치만하는거같아 이번기회에좋은분께보내드립니다.
사자마자 후면플름강화필름붙이고 케이스까지껴논상태입니다.
사진에보시다싶이 여분필름,강화유리글라스,케이스또한여분이로새것포함많습니다. 직접보시면아실겁니다. 거의신품급입니다. 어제초기화해놨습니다. 직거래우선으로하며,
택배도가능하나 파손면책동의와 노리턴 노환불입니다.
직거래는인천 택배할경우 번개장터방문택배접수할거라추가비5천받겠습니다. 박스모두보유입니다.추가궁금하신점번톡주시구요 번게페이가능합니다.
애애플X
내고문의답장x안팔리면아라서내릴게요",남성 시계,인천광역시 서구 가정2동,https://m.bunjang.co.kr/products/198330826?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
(새제품) 행사중 2+1 애플워치 밀레니즈루프 최저가 스트랩 밴드 16종,"4,500",179,3918,"💕애플워치 밀레니즈루프 스트랩💕

서비스 1개는 실리콘밴드 또는 스포츠루프로 제공합니다😁

⌚️사이즈
38/40/41 mm 
42/44/45 mm

⌚️색상
총 16가지

⌚️결제방법
계좌이체 또는 번개페이

⌚️배송방법
-직거래 : 수원망포역 근처
-우체국: 우표(520원), 준등기(1800원), 
              빠른등기(3570원)
     👉우표배송의 경우 분실위험이 있습니다.
            (우표는 배송추적 불가, 번개페이불가)
          분실의 경우 판매자측에서 환불처리가 
          어렵습니다. 이점 확인하시어 주문바랍니다.

-택배: 반값택배(1600원, gs편의점으로배송)
          cj택배(2900원)

👀주문은 채팅주시면되어요-!
👀궁금하신부분도 채팅주세요-!
👀확인하는대로 바로답변드립니다-!
  👌새벽에도 안자고 있으면 답변 바로 드려용",웨어러블(워치),서울특별시 송파구 위례동,https://m.bunjang.co.kr/products/159838591?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
미개봉) 애플워치se 40mm 골드,"310,000",10,252,"상품명: 애플워치 se 골드 40mm 스타라이트 스포츠밴드

상태: 미개봉 새상품 

구매처: 쿠팡

제조년월: 2022년 5월

가격: 310,000원 (택포) 

깔끔하게 거래하실 분 연락주세요!

직거래 서울 석수역,금천구청역,홍대입구역 가능합니다",웨어러블(워치),서울특별시 금천구 시흥제5동,https://m.bunjang.co.kr/products/196705926?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치se44mm,"215,000",0,11,"배터리효율87% 
필름끼고 사용했지만 생활기스는 있습니다
박스없고 충전기선 같이 드려요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198463216?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치7 41mm 그린 미개봉,"360,000",6,239,"미개봉 풀박스 입니다
잡소리 제발 사절합니다...",웨어러블(워치),부산광역시 강서구 녹산동,https://m.bunjang.co.kr/products/197606823?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 se 40mm골드,"200,000",15,260,"4월에 구매한 애플워치입니다
지금은 가격올라서 가격 더 비싸욥
싼가격에 상태 좋은 워치 가져가세용
강남 직거래 환영이요
실사 요청하시면 보내드려요
큘거시 약간 에눌가능합니다
문의많으니 빨리 가져가세요~!
+사진이나 다른 요구사항 보내달라고 해서
보내드렸는데 읽씹하거나 하실분들은 그냥 문의하지마세요
정말 구매 생각있으신 분들만 문의주세요",웨어러블(워치),서울특별시 강남구 역삼1동,https://m.bunjang.co.kr/products/196661276?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
"애플워치 정품 클래식 버클 프로덕트 레드 38mm (40, 41mm 호환","100,000",0,2,"애플워치 정품 클래식 버클 프로덕트 레드 색상 38mm 팝니다. 

몇 년 전에 단종된 애플 정품 가죽 스트랩으로 현재 판매 되고 있는 에르메스 정품 스트랩하고 거의 같은 디자인이라고 보시면 됩니다. 사실상 버클만 다르다고 보시면 돼요. 천연 송아지 가죽이라 매우 부드럽고 애플 정품 특유의 완벽한 마감도 특징입니다. 단종 전에 판매되던 정가는 19만원이었습니다. 

38mm 시절 제품이지만 커넥터 규격은 변하지 않았기 때문에 40mm나 41mm 애플워치와도 잘 호환 됩니다. 프로덕트 레드 색상은 짙은 빨간색이라고 보시면 됩니다.

제품은 개봉하지 않은 새제품입니다. 번개페이 결제 가능합니다. 문의사항은 채팅 주셔도 되고 바로 구매하실 분은 결제하시면 당일날 바로 발송해 드립니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198448702?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 SE 44mm gps 모델 스그 색상 팔아요.,"280,000",1,31,"애플워치 SE 44mm gps 모델 스그 입니다.

구입한지 9달 되었지만 실사용 3~4달 하루 6시간씩 정도 착용했습니다.

현재는 시계를 잘 착용 안해서 판매합니다.

배터리 상태는 98퍼센트로 양호합니다.

전면 액정부는 첫사용부터 케이스 장착하고 사용해서 기스가 없지만 후면부 스트랩 연결부에는 메탈스트랩 착용으로 인해 칠 벗겨짐이 위 아래로 각 1개씩 있습니다.(막을 방법이 없음)
하지만 착용시에는 보이지 않습니다.

구성은 애플워치 풀박스 , 스포츠 스트랩 2개 , 메탈 스트랩 1개, 액정보호 케이스 1개 , 애플 워치 충전 거치대 1개

총 280000에 택포로 팔게요.

네고는 정중히 차단하겠습니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198332537?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
1553) 애플워치SE 40mm 로즈골드 급처합니다 !,"194,000",0,11,"모델명 -애플워치SE 40mm

색상 -로즈골드

상태 - 사진보시다시피 액정기스있습니다 
사진에 보이는 여분스트랩 같이 드립니다 ~!

직거래-부평역부근 11시~8시거래가능
택배거래-평일 3시이전 입금시 당일 우체국택배로 출고 
퀵거래-서울경기인천 퀵거래가능합니다!

궁금하신점 언제나 문의주세요 ♥",웨어러블(워치),인천광역시 부평구 부평6동,https://m.bunjang.co.kr/products/198462757?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치se 44mm 골드 미개봉 새제품,"330,000",5,206,"애플워치SE 44mm 미개봉 팜니다.
비닐 안뜯은 새상품입니다.

색상/종류 : 골드 /  GPS
상태 : 미개봉새제품
특징 : 애플코리아 정품

장소 : 서울 노원역이며 협의하에 조율
시간 : 상호 협의하에 조율
택배 : 택배비 4천원 추가로 가능
번개페이 : O

네고 죄송합니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/196938710?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
"(미개봉 새제품)애플워치 44mm SE, GPS, 스페이스그레이","350,000",2,100,"미개봉 새제품입니다
(애플워치 44mm SE, GPS, 스페이스그레이)
빠르게 처리할려고 저렴히 올려요~",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198345213?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 스트랩 42mm,"28,000",2,59,"1. 실리콘 스트랩 그레이
사용감있음 정품x 3500원

2. 밀레니얼 스트랩 실버
사용감있음 정품x 4500원

3.쥬빌레 실버
사용감 있음 18000원 여분코 있음

4. 스포츠 스트랩 화이트
사용감 있음 정품x 3500원 

일괄 28000드림",웨어러블(워치),부산광역시 서구 동대신제3동,https://m.bunjang.co.kr/products/197195542?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치se44mm,"215,000",2,205,"배터리효율87% 
필름끼고 사용했지만 생활기스는 있습니다
박스없고 충전기선 같이 드려요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198391477?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 6 gps+셀룰러 스테인리스 44mm 판매합니다,"629,000",7,931,"어느 옷이나 데일리로 매치하기 좋은 애플워치 판매합니다. 롤렉스를 두개 보유하고 있어 착용을 안해서 판매합니다. 스테인리스 gps+셀룰러 골드 모델은 출고가 밀레니즈 제외 959,000원 입니다. 밀레니즈 포함1,059,000원 할 거에요 애플워치 6시리즈가 7시리즈보다 잘 나와서 출고가나 성능이 훨씬 비싸고 뛰어납니다.
안 쓰는 제품으로 구매 연락 주시는 분께 가차없이 에누리 드리고 판매하겠습니다. 얼른 연락주세요.",웨어러블(워치),부산광역시 남구 대연제1동,https://m.bunjang.co.kr/products/190654059?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치3,"200,000",1,21,"애플워치3 38mm
사용한지 6개월정도 된거같아용
삼성으로 갈아타게되서 팔아요ㅜ
필름이랑 케이스 다 껴있어서 기스 흠집 없어요
가격제안받아요
연락주세요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198392778?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 se 40mm+정품 밀레니즈루프 실버,"335,000",0,4,"중고로 얼마 전에 구매한 3개월 전에 구매하시고 방치하셨다던 하자 전혀 없는 새 거같은 애플워치입니다.
막상 사고보니 별로 필요가 없는 것 같아서 되팔아요…
밀레니즈루프는 이틀 전에 애플스토어에서 직접 샀습니다.
네이비 스트랩은 구매자님께서도 전혀 안쓰셨다는 새 거 그대로입니다.
액정 보호 필름도 새 거 붙여있고 충전기만 없고 풀박스에 애플 쇼핑백도 드려요.",웨어러블(워치),서울특별시 영등포구 당산제2동,https://m.bunjang.co.kr/products/198462511?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
[애플워치se] 40mm/미개봉/그레이/A2355/32만원/최저가/인천,"320,000",0,2,"★애플워치se 40mm /A2355/그레이 /32만원

미개봉 새상품입니다
블루투스로 연결해서 사용하심됩니다!


______________________________________________
&gt;&gt;&gt;직거래시 
인천 지하철 1호선 작전역1번출구 근처 매장에서 
11시~ 20시까지 가능합니다.

&gt;&gt;&gt;택배거래시
선입금확인후 착불 또는 택배비 구매자별도(3,800원)
________________________________________________


※ 가격대, 종류별로 다양한 공기계 많이 있습니다. 문의 주세요!!
※ 모든제품은 기능 및 검수가 끝난제품입니다!!

1. 네고 또는 교환 문의 정중히 거절합니다.

2. 예약을 원하시는 분은 판매가의 10% 선입금후 입금완료 조건으로 예약해드려요.
(단, 예약 후 구매안할 시 예약금 환불불가)

3. 새 폰이 아닌 ""중고폰""입니다. 미세한 생활 잔기스 어느정도 감안해주세요.

4. 휴대폰카메라로는 미세한 생활 잔기스,찍힘은 한계가 있습니다.

5. 제품 받으시고 7일안에 교환/환불은 고지안한 기능 이상 있을 시에 가능합니다.
(구매자사정에 의한 단순변심으로는 환불불가)

""박리다매""를 원칙으로 진정한 판매는 
구매후에 이루어진다는 생각으로 판매하겠습니다
많은 문의 부탁드립니다!",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198462421?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 7 41mm 미드나이트gps + 정품 밀레니즈 루프,"320,000",1,70,"애플워치 7 41mm 미드나이트gps(알루미늄 케이스)
+정품 밀레니즈 루프 블랙

작년 10월 공홈 구매 
당시가격 55만 9천원 (밀레니즈 루프 포함)

배터리 성능 100%

⭐️사용감있음⭐️
액정 생활기스, 실기스 있음 (깨짐, 찍힘 없음)
개인기준 쓰는데 지장 없음 (예민하신 분들 스킵)
풀박스로 보내드림 (충전 케이블 포함)
✅택포가격
교환 ❌ 환불 ❌ 직거래 ❌
사진 요청시 보내드림

구매하실 분만 연락🙏",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198397393?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 se 40mm wifi모델,"250,000",1,0,"충전기랑 워치랑 밴드 다 드립니다 박스가없습니다 
문의주세요",웨어러블(워치),충청북도 청주시 흥덕구 강서제1동,https://m.bunjang.co.kr/products/198462298?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 SE 44mm GPS 모델,"250,000",1,294,"문의 사항있으면 연락주세요


교환❌ 교신❌",웨어러블(워치),전국,https://m.bunjang.co.kr/products/197800939?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
(부품용)애플워치se40mm,"80,000",4,182,에플워치se40mm 락걸린 제품 사진에 있는 충전기 스트랩 케이스 같이 드려요,웨어러블(워치),대구광역시 중구 남산2동,https://m.bunjang.co.kr/products/197783436?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치1세대 풀박스+스트랩6개 메탈42mm실버,"90,000",5,79,"상태 최상이고여 많이 안썻어요.. 
저는 손에 뭐 차는거 불편햇음
액정에 기스 하나 없어요 
다 정상작동 해요
풀박스임 스트랩 많고 충전기도 있음 보증서?같은 종이랑
쿨거시 에눌 가능.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/197212202?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치 se 나이키 에디션 GPS 40mm 스페이스 그레이 알루미늄,"360,000",4,139,"제품명 : 애플워치 se 나이키 에디션 GPS 40mm 스페이스 그레이 알루미늄 
상태 : 사용감 외엔 최상 ( 산지 몇달 안된 상품)
배터리 성능 : 100프로 
박스여부 : 풀박스 ( 박스에 흡집 X)
추가로 스포츠 밴드 제품이여서 기본 스포츠 밴드 와 밀레니즈 자석형 스트랩 ,투명 케이스
C 타입 충전기 드립니다",여성 시계,경상남도 창원시 진해구 자은동,https://m.bunjang.co.kr/products/196979715?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치7 41mm GPS 미드나이트(2022.08 제조) 미개봉 새상품,"410,000",0,2,제조년월 2022.08월,웨어러블(워치),부산광역시 수영구 망미제1동,https://m.bunjang.co.kr/products/198461750?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
(후기1800개)애플워치 se 40mm 미개봉 판매,"295,000",72,2025,"애플워치se 40mm gps 스그 색상판매

미개봉이라 딱히 내용 안적겠습니다

당일발송 다음날 바로 받아보십니다 👍

후기보시고 판단해주세요 1800개후기 ⭐

👊 후기 몇개 없는 싼거 저렴하게 찾으시려다
스트레스,사기먹지마시고,오래기달리지말고
확실한 곳에서 안전하게 바로 구매하세요 !!🔥",웨어러블(워치),경기도 부천시 원종2동,https://m.bunjang.co.kr/products/193502600?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
애플워치3 42mm,"130,000",2,18,액정에 기스좀 있고요 충전기는 미포함입니다 택배비 포함입니다 전체적으로는 깨긋합니다 기능도 정상입니다 배터리효율은 93%입니다,웨어러블(워치),전라북도 전주시 완산구 완산동,https://m.bunjang.co.kr/products/198456137?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
