,title,price,like,view,article,category,location,link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,애플워치7 41mm 스타라이트,"400,000",15,467,"애플 정품 Pd 고속 충전기 어뎁터,사진의 밴드 같이 드립니다 ^^ 실 사용시간 5시간 미만입니다 
출시 직 후 새제품 구매 후 한번 착용하고 보관하다가 판매하게되었습니다 사용하지않았으니 배터리 상태는 매우 양호할겁니다 하단 모서리 한 부분에 자세히 보아야 보이는 실기스가 있습니다 사용에 전혀 지장없습니다^^",웨어러블(워치),서울특별시 용산구 보광동,https://m.bunjang.co.kr/products/181483670?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,애플워치se 44mm gps,"299,000",9,289,"애플워치se 44mm gps 풀박스 팔아요
기본으로 주는 스트랩은 열어보고 사용하지않아 새것입니다.

색상 :실버
구성품 : 풀박스 + 스트랩 3종류 + 시계줄 조절기 + 충전기 거치대 + 애플워치 케이스 2개
",웨어러블(워치),서울특별시 강서구 화곡제6동,https://m.bunjang.co.kr/products/178463089?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,애플워치3,"100,000",22,962,악세사리 충전기 모두 포함입니다,웨어러블(워치),서울특별시 중랑구 상봉제1동,https://m.bunjang.co.kr/products/181482091?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,애플워치3,"100,000",22,962,악세사리 충전기 모두 포함입니다,웨어러블(워치),서울특별시 중랑구 상봉제1동,https://m.bunjang.co.kr/products/181482091?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,애플워치7 셀룰러 실버 스뎅,"860,000",1,80,"미개봉 새제품입니다
네고 불가능합니다",웨어러블(워치),경기도 수원시 팔달구 인계동,https://m.bunjang.co.kr/products/180966860?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,애플워치6 GPS 40mm 스페이스그레이,"290,000",5,137,"애플워치6 gps 40mm 팝니다
풀박스입니다
쓴지 1년 안됐어요
상태좋아요! 기스 하나 없습니다
갤럭시로 넘어가서 팔아요~!
포항 직거래 선호해요
택배원하시면 택배비 별도입니다~!",웨어러블(워치),경상북도 포항시 북구 죽도동,https://m.bunjang.co.kr/products/181462458?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,애플워치 se 44 gps 스페이스 그레이,"310,000",0,45,"3개월 전에 이마트에서 구매후 거의 사용못함
배터리 성능 100%
하자 아예 없음 
필름 한장 포함
풀 박스
필요시 사진 더 제공",웨어러블(워치),경기도 성남시 분당구 서현1동,https://m.bunjang.co.kr/products/181284092?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,미개봉 애플워치 40mm 실버,"290,000",2,93,"시세보다
싸게가져가세요 미개봉
새상품입니다~
",웨어러블(워치),경기도 안양시 동안구 호계1동,https://m.bunjang.co.kr/products/179864592?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,애플워치6 44mm,"360,000",0,55,"하자 있어 판매하는거 아니구 
안쓰고 묵혀두기 아까워 판매합니다.
직거래 우선 
연락주세요",웨어러블(워치),경기도 고양시 일산동구 정발산동,https://m.bunjang.co.kr/products/181455711?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,애플워치 3세대 (s급),"300,000",0,44,"애플워치 비닐뜯어서 중고지만, 3번 차서 기스도 거의 없습니다. 원가는 29만원이지만, 제가 쿠팡에서 구매한 중전기, 밀레니엄 스트렙, 그리고 엠바고 정품 에플워치 거치대 까지 드려요. 직거래 선호하고 옥수역까지 와주실분 거래합니다.",웨어러블(워치),서울특별시 성동구 옥수동,https://m.bunjang.co.kr/products/181295294?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,애플워치se2 사용 거의안함 에누리가능,"270,000",7,143,"사용거의 하지않았고요 구매한지2달밖에안됐고 급한게 판매합니다 에누리가능해요 
기스도 없고 찍힘도 없어요",웨어러블(워치),전라북도 김제시 신풍동,https://m.bunjang.co.kr/products/181442899?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,애플워치40mm샐룰러나이키에디션팝니다(se),"300,000",5,174,"실사용5번이하입니다
실버입니다",생활가전,전국,https://m.bunjang.co.kr/products/181337585?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,애플워치6 44mm 셀룰러 알루미늄,"320,000",14,436,"2021년 8월 2일 구매.
실사용 첫 2달 조금 사용 후 최근 완전 방치 상태입니다. 사용도가 너무 떨어져 중고로 올리게 됐습니다.
상태는 액정에 미세한 기스 있으며, 만나서 재확인 가능합니다. 기타 사진 요구 있을시 찍어 드립니다. 
직거래로 하고 싶습니다. 자양3동 주민센터 앞에서 하려고 합니다. ",웨어러블(워치),서울특별시 광진구 자양제3동,https://m.bunjang.co.kr/products/175546067?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,애플워치se팔아요,"250,000",2,78,"기스사진에 안담길만큼 살짝났습니다 만나면 보여드릴게요 베터리 성능 96% 스트렙 장착외 4개
40mm",웨어러블(워치),전국,https://m.bunjang.co.kr/products/180904941?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,애플워치 6 스테인레스 스틸 실버 셀룰러 40mm 애플케어 23년 5월까,"580,000",3,369,"애플워치 6 스테인레스 셀룰러 40mm 실버 판매합니다.
사진 확인부탁드리며, 상태 양호합니다.
애플케어 플러스 23년 5월까지 가입되어 있어, 편하게 사용하시면 됩니다.
구매시 밀레니즈 루프, 스포츠 밴드 2종, 박스 함께 드립니다.",웨어러블(워치),서울특별시 강서구 발산제1동,https://m.bunjang.co.kr/products/180649570?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,아이폰7이랑 애플워치3이상 교환받아요,"100,000",7,749,"안녕하세요 
아이폰7 기스 직힘 없어요
교환연락주세요
구매도 가능해요",스마트폰,전국,https://m.bunjang.co.kr/products/180943711?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
