,title,price,like,view,article,category,location,link
0,애플워치7 41mm 미드나이트,"360,000",3,44,"3월 중순에 구매했고 실사용은 2개월정도 했습니다.
풀박스로 있어요",웨어러블(워치),서울특별시 중구 광희동,https://m.bunjang.co.kr/products/190454044?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
1,애플워치7 41mm 미드나이트,"360,000",3,44,"3월 중순에 구매했고 실사용은 2개월정도 했습니다.
풀박스로 있어요",웨어러블(워치),서울특별시 중구 광희동,https://m.bunjang.co.kr/products/190454044?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
2,애플워치 스트랩 38/40mm 민트,"9,000",1,23,"민트컬러 가죽스트랩입니다.
새상품이고
제꺼 본체 로즈골드랑 안어울려서 팔아요ㅠㅠ

반값택배 지에스 
환영해유!
언눙 가져가셔용😉",웨어러블(워치),경기도 성남시 분당구 금곡동,https://m.bunjang.co.kr/products/190543953?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
3,애플워치7 45mm 실버 스테인레스,"700,000",10,208,"애플워치 7 팝니다
Ifc몰에서 구매하였습니다
올해 6월에 구매했어요

실버스틸이라 생활기스 많이있어요
그대신 정품 스트랩 다 드립니다
가죽,고무,메탈 다 정품이에요
Casefity 가죽 스트랩도 드려요
스트랩 가격만 100만원 정도 입니다 ㅠㅠ

구성품 다 있고 박스 다 있습니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190540056?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
4,애플워치se40mm 스그 새 상품,"240,000",1,19,"3번정도 착용했고 파는이유는 화면이 작아서 저한텐 쓰기 불편하네용 ㅠㅠ 사진에 보시다시피 스트랩도 드리고 여분 스트랩 사진이랑 똑같은거 하나더 드립니다
사진에 충전기는 안나왔는데 충전기도 드리구요 
베터리 성능은 100%입니다
생활시스X 깨짐X 전부 S급입니다",웨어러블(워치),서울특별시 구로구 구로제3동,https://m.bunjang.co.kr/products/190537626?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
5,애플워치 4세대 40mm,"200,000",4,201,"애플워치 4세대 40mm
상태는 생활기스 조금있는 상태입니다
케이스 끼시면 안 보여요 
스크랩2개, 케이스, 충전기까지 보내드립니다.
쿨거시 에눌가능",웨어러블(워치),전국,https://m.bunjang.co.kr/products/188134981?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
6,애플워치 스트랩,"9,000",0,9,애플워치 스트랩 판매합니다. 정품 아닙니다. 일괄판매합니다.,웨어러블(워치),경기도 고양시 덕양구 관산동,https://m.bunjang.co.kr/products/190532949?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
7,애플워치,"265,000",0,35,"로즈골드 색상이고 이번년에 에이스토어가서 산거고 별로 쓰지도 않아서 싸게 올려요 풀박에 스트랩이랑 충전기 다 드릴게요 편하게 연락주세용!

:)가까운거리 직거래 가능!",기타(시계),전국,https://m.bunjang.co.kr/products/190525905?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
8,애플워치44mm,"160,000",2,76,"생활기스 있고  풀박x 충전기만 있음 
급처라 싸게 팔아요
배터리 성능92퍼에요",남성 시계,광주광역시 동구 충장동,https://m.bunjang.co.kr/products/190526197?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
9,애플워치5 스테인리스 44mm 실버 애케플,"400,000",9,616,"이번에 갤럭시로 갈아타면서 팝니다.

배터리 최대성능 93%

애케플 8월 29일까지라 막 쓰시다가 리퍼받으시고 새 제품

쓰셔도 될 듯 합니다.

밀레니즈 루프 정품

택배거래 가능 우체국으로 보내드림

직거래 광주봉선동 가능

구성품 풀박스

안전거래 가능",웨어러블(워치),전국,https://m.bunjang.co.kr/products/185791694?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
10,애플워치4 44mm,"170,000",22,374,"나이키 애플워치4 44mm 알루미늄 셀룰러입니드
생활기스 조금 있고
풀세트랑 
나이키 스트랩 하나 정품 스트랩 하나 
네이버에서 산 스트랩 2개 있습니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/189968913?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
11,애플x나이키 워치se  44mm 스그  ss급팝니다,"300,000",2,47,"케이스항상끼구 다녓고 찍힘 없어요

배터리 성능 96

스트랩 여유분이랑 스트랩 가방도 드려요",웨어러블(워치),인천광역시 남동구 간석1동,https://m.bunjang.co.kr/products/190503154?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
12,애플워치7,"380,000",0,8,"워치7 41m 스타라이트 gps 한번시착밖에 안햇어요
필름도 완벽히 해놧어요 연락주세요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190501802?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
13,애플워치se40mm 실버,"290,000",0,15,"애플워치se 40mm 실버 
풀박스 입니다 깨끗해요! 기스없구
산지 2개월정도 됬고 영수증 있습니다 기본 밴드랑 다른 밴드 2개 공짜로 드리겠습니다 경기도 수원 직거래 빠른거래 원합니다 배터리 100% 사진 원하시면 보여드려요!",웨어러블(워치),경기도 수원시 장안구 송죽동,https://m.bunjang.co.kr/products/190307357?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
14,애플워치 6 교신,"1,000",0,88,애플워치 6랑 7 추금받고 교신하실분 구합니다,웨어러블(워치),경기도 용인시 기흥구 동백동,https://m.bunjang.co.kr/products/190487563?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
15,애플워치 se 44mm 나이키,"270,000",23,336,사고서 일주일만 썼습니다 사자마자 케이스랑 필름 사용해서 거의 새거나 다름 없습니다 사고서 쓰는데 생각보다 저는 쓸 일이 별로 없는 거 같아 팔게 됐습니다,웨어러블(워치),충청남도 보령시 대천4동,https://m.bunjang.co.kr/products/190481239?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
16,애플워치 SE 44mm,"340,000",2,68,그냥 120프로 새상품입니다 선물 받은거라서 판매합니다ㅎㅎ 가격비싸면 연락주세요,남성 시계,부산광역시 해운대구 좌제2동,https://m.bunjang.co.kr/products/190455991?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
17,애플워치 6 40m 팔아요~!,"350,000",5,62,"배터리 용량 100% 입니다 :) 사용감 아예 없구요~! 기스도 없습니다 !!  배터리용량 보시면 아시겠지만 사놓고 사용을 많이 안했어요~! 쿨거시 만원 할인 가능합니다!
의정부 직거래만 가능해요!",웨어러블(워치),경기도 의정부시 호원2동,https://m.bunjang.co.kr/products/187539059?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
