title,price,like,view,article,category,location,link
갤럭시워치3 45mm 실버,"150,000",1,31,"갤럭시워치3 기존가죽 새줄외 6개 디버클 밴드, 보호커버, 시계파우치, 3콤보 충전기(휴대폰,버즈,워치)포함 완전풀셋!!
배송비 별도 직거래 가능 네고 사양합니다
문정 가락
***-****-****",웨어러블(워치),서울특별시 송파구 문정1동,https://m.bunjang.co.kr/products/198233988?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치 액티브 2,"130,000",2,311,"*중고 특성상 교환.환불 불가합니다*
-꼭 잘 보고 구매해 주세요

구매한지 1년좀 안될걸로 기억하구요

본체에 기스는 없습니다
케이스 껴놨구 필름도 붙혀져있습니다",웨어러블(워치),경기도 부천시 중2동,https://m.bunjang.co.kr/products/195006079?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치 액티브2 블랙 44 정상해지(직거래 택배)R825F,"65,000",0,93,"★갤럭시 워치 엑티브2  블랙 정상해지
★-R825F-★- LTE / 44mm

◎액정 기스O(워치액정 사이드쪽 작은 기스)
◎테두리 전체 깨끗!!!

◎화면터치,블루투스,모든 기능 정상!!!

**LG사용 모든 통신사 가능
  .LG통신사 단독 개통 가능/그외 통신사 블루투스 잡아서 사용가능!!!

★확정기변 가능하며, 25% 요금 할인 가능해요!!!!

★충전독/워치
★판매가 6만5천원에 판매합니다.(택포가격)

서울 동대문역,동대문역사공원역,왕십리역, 직거래합니다 (인근지역 장소변경가능요)
택배거래도 가능합니다 (택배시 배송비 부담해드려요)

전화번호 / 010-49칠이-오영49",웨어러블(워치),서울특별시 성동구 왕십리제2동,https://m.bunjang.co.kr/products/198306929?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치 44mm 블랙 (직거래 택배)R805,"55,000",1,188,"★갤럭시 워치  블랙 44mm 정상해지
★-R805-★-

◎액정 기스X 테두리 기스O 

◎와이파이 수신좋고 화면터치나 지문,블루투스,카메라,센서 전부 정상!!!

**LG사용 모든 통신사 가능
.LG통신사 단독 개통 가능/그외 통신사 블루투스 잡아서 사용가능!!!

★확정기변 가능하며, 25% 요금 할인은 안되요!!!!

★충전기세트/워치
★판매가 5만5천원에 판매합니다.(택포가격)

서울 동대문역,동대문역사공원역,왕십리역, 직거래합니다 (인근지역 장소변경가능요)
택배거래도 가능합니다 (택배시 배송비 부담해드려요)

전화번호 / 010-49칠이-오영49",웨어러블(워치),서울특별시 성동구 왕십리제2동,https://m.bunjang.co.kr/products/197642737?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치4,"180,000",0,1,"갤럭시 워치4 
색상은 블랙이고 크기는 40mm입니다
9/5에 구매했구요 미개봉입니다 
샀는데 필요없어서 팝니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198504582?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치4 클래식 46mm 블루투스,"240,000",5,215,"▪︎갤럭시 워치4 클래식 46mm 
▪︎블루투스
▪︎자가유통

□ 구매가격 : 289,000원
□ 판매가격 : 240,000원

2022년 8월 31일 수령 후
착용 1회 + 충전시킨거 외엔 없습니다.

실사용, 생활기스 당연히 없습니다.

□ 판매하게된 이유
갤럭시 워치5 를 선물로 받아서 바로 판매

□ 상품구성 : 풀박스

□ 이번 워치 5에서는  '클래식' 디자인은 없더라구요. 워치 '클래식'만의 감성, 고급, 세련함을 원하시면 워치4 클래식 46mm 추천드려요.
 
□ 직거래 : 대구광역시
울산광역시 : 09.08~09.11 가능
□ 택배거래 : 편의점 택배

□ 가격네고는 죄송해요. 

추가적인 사진이나 궁금증있으면 연락부탁드려요.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198233229?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
[미개봉] 갤럭시 워치 3 41mm 미스틱 실버 lte 자급제,"140,000",10,211,"미개봉 새제품 입니다.

워치3 41mm 실버 색상 lte 자급제 모델입니다

제조연월 20년 11월

택배거래시 택배비 별도 입니다
직거래 환영합니다",웨어러블(워치),경기도 부천시 중동,https://m.bunjang.co.kr/products/197754826?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
새상품 갤럭시워치5 프로 45mm(블루투스/lte선택가능),"370,000",0,18,"이번에 출시한 갤럭시 워치5 프로 45mm 배송지 변경으로 판매합니다.
사진과 같이 쿠폰으로 할인받아 주문 넣어야하기때문에 택배 배송 가능하며 제가 주문후 수령해서 직거래도 가능합니다.
직거래 가능: 직거래는 충청남도 공주시 공주대학교 근처 직거래 가능합니다. 연락주시면 감사하겠습니다.",웨어러블(워치),충청남도 공주시 신관동,https://m.bunjang.co.kr/products/198498510?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
대구 갤럭시워치4 블랙 판매중,"155,000",0,4,"풀박스이며 자급제로 구매했습니다
블랙 40mm
보호필름 붙여서 기스없이 깨끗해요
실사용 5회정도 
대구 직거래 환영합니다",웨어러블(워치),대구광역시 달서구 상인2동,https://m.bunjang.co.kr/products/198504458?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치5 40mm 미개봉,"250,000",5,166,"미개봉이라 상태는 말안해도 아실거에용ㅎㅎ
색상 실버,골드,그레이 이렇게 3가지 있어용",웨어러블(워치),전국,https://m.bunjang.co.kr/products/198332339?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치 4 골프에디션 미개봉 새상품,"200,000",1,47,"갤럭시워치4 골프에디션 미개봉 새상품입니다!

편하게 연락주세요.",웨어러블(워치),서울특별시 마포구 아현동,https://m.bunjang.co.kr/products/198108942?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치4 메총키츠네 에디션 판매합니다,"555,000",0,117,"개봉은했으나 실사용 1회이후 사용한적 X
제품 구성 그대로 대신 NFC 카드 1회사용했습니다
크림에서 구매한 내역 및 정품인증카드 보유중",웨어러블(워치),광주광역시 남구 효덕동,https://m.bunjang.co.kr/products/197658883?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
[미개봉]자급제 갤럭시 워치5 프로 팝니다.,"440,000",1,186,"오늘 30일 삼성전자에서 받은 갤럭시 워치5 프로 자급제용입니다.

자급제라 개통가능하시고 일반 블루투스용으로도 사용하실수 있습니다.

- 직거래는 평일 종로3가역 8번출구
  8시30분 이후부터 인천 신현치안센터
- 주말은 치안센터 앞에서 거래 가능합니다.
- 택배 거래 가능합니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/197923675?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시 워치 4 클래식 42mm 실버(gps),"240,000",2,218,"한번정도 썼습니다 상태는 좋습니다
암만봐도 시계가 너무 많아서 팝니다. 
팔지 모르고 박스는 버렸습니다
실물 이뻐요 문의주세요",웨어러블(워치),전국,https://m.bunjang.co.kr/products/197657813?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치4 40mm,"80,000",11,1156,"6월달에 구입한 갤럭시워치 입니다. 일하다가 액정위쪽에 파손이 생겼습니다. 사용에는 이상이 없습니다 ! 감안하고 구입하실분 ! 

구성품은 본기기+ 충전기 입니다 !",웨어러블(워치),경상남도 통영시 광도면,https://m.bunjang.co.kr/products/196870400?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치2 + 충전기,"67,000",4,464,충전기 포함이에요!!,웨어러블(워치),경기도 남양주시 진접읍,https://m.bunjang.co.kr/products/189489156?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치 4,"210,000",2,568,갤럭시 워치 4입니다 뒷면은 지문방지 옆면도 지문방지 화면은 방탄필름으로 아주~~~이쁘게 붙여놨습니다 줄도 자석과 기본제공되는 줄 다같이 드리겠습니다 번톡 주세요~~(2월 구매),웨어러블(워치),서울특별시 구로구 개봉제2동,https://m.bunjang.co.kr/products/182180261?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치4 44m lte 판매합니다.,"170,000",0,2,"갤럭시워치4 44mm lte판매합니다.

기기,박스,충전선 존재합니다.

기기 외관 생활 사용감 외 기능이상 없습니다.

직거래 망우역 상봉역 중화역 가능합니다.

구매의사 있으신 분들만 채팅 부탁드립니다.",웨어러블(워치),서울특별시 중랑구 상봉제1동,https://m.bunjang.co.kr/products/198502614?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
갤럭시워치4 40mm 실버 삽니다,"150,000",0,5,택배만 가능합니다. 9월21일에부터 구매 가능합니다,웨어러블(워치),전국,https://m.bunjang.co.kr/products/198502216?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
(미개봉 신품)갤럭시워치4 메종키츠네 에디션,"630,000",2,354,"갤럭시워치4 메종키츠네 에디션 미개봉 신품입니다.
KREAM 시가보다 낮은 가격에 내놓습니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/186786470?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
