,title,price,like,view,article,category,location,link
0,A급 갤럭시워치3 40MM 브론즈 5321 부산 휴대폰이용소,"130,000",0,32,"😀필독

사진, 게시글 꼭 확인해주세요!

사진의 빛은 조명 불빛입니다!


😐상품설명

❣ 모델명 : 갤럭시워치3 40MM
❣ 용량 : 16GB
❣ 색상 : 브론즈
❣ 구성 : 기기단품
❣ 기능 : 모든 기능 정상
❣ 잔상 : X
❣ 상태 : A(사진과 동일합니다)
❣ 금액 : 130,000
❣ 택배 : 가능


💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥


L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다

직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능

* 오후 5시 전 입금 건 당일 택배 발송 *

🎈 월~토 

모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다

★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★

* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞",웨어러블(워치),부산광역시 수영구 광안제1동,https://m.bunjang.co.kr/products/192064566?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
1,갤럭시워치4 40mm,"185,000",1,24,"선물로 받아서 충전만 했고 착용은 하지 않았습니다.

충전기는 집에 있는 걸로 했기 때문에 충전기는 새거이며 풀커버 케이스 끼어져 있습니다.

풀박스입니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/192414500?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
2,갤럭시 워치 액티브 케이스,"10,000",0,13,일괄 판매합니다 반택1800,기타,전국,https://m.bunjang.co.kr/products/192410129?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
3,갤럭시워치4 실버 셀룰러 판매합니다.,"160,000",0,33,"구매하고 딱 한번 집안에서 1분 차봤구요.
아라리 액정보호필름 아라리 누킨 케이스 끼워놨고 실기스조차 없는 새상품급입니다.   
미개봉 제품 찾고 계신 분들에게 좋은 물건이라 생각합니다. 남자인 저에게는 사이즈가 좀 작다 느껴져서 판매합니다. 손목이 얇거나 클래식한 핏을 좋아하는 남성분들도 괜찮은 사이즈라 생각되네요. 셀룰러 모델입니다. 와이파이 gps용으로 사용도 가능합니다.
네고 문의는 칼차단하겠습니다.",웨어러블(워치),경기도 광주시 초월읍,https://m.bunjang.co.kr/products/192401640?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
4,갤럭시워치4 골프에디션 미개봉새상품 40mm,"260,000",0,176,미개봉새상품 최근제조,웨어러블(워치),경기도 안양시 동안구 호계3동,https://m.bunjang.co.kr/products/191240020?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
5,갤럭시워치4 골프에디션 미개봉새상품 44mm black,"283,000",1,113,미개봉새상품 골프에디션 미개봉새상품 골프에디션 미개봉새상품,웨어러블(워치),경기도 안양시 동안구 호계3동,https://m.bunjang.co.kr/products/190539791?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
6,갤럭시워치4  골프에디션 미개봉새상품 44mm,"283,000",8,482,미개봉새상품 골프에디션 과 즐거운 라운딩 하세요 ,웨어러블(워치),경기도 안양시 동안구 호계3동,https://m.bunjang.co.kr/products/188510596?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
7,갤럭시 워치 4 44mm,"210,000",2,82,"갤럭시 워치 4 44mm팔아요
이번년도 2월 말에 사서 
안차고 다녀서 팔아요
택배 직거래  가능합니다
풀박스며 충전기 다 있습니다
",웨어러블(워치),전국,https://m.bunjang.co.kr/products/187441952?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
8,미개봉 갤럭시워치4 40MM 블랙,"180,000",0,18,"😀필독

사진, 게시글 꼭 확인해주세요!

사진의 빛은 매장 조명 불빛입니다!

(부산광역시 범일로102번길 14)

매장방문 환영합니다. 

방문전에 찾으시는 상품 문의 주시면 좀 더 수월하게 구매가능하십니다
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
 
- 0 1 0 2 9 7 0 7 8 0 0 -

업무상 전화를 못 받을시

문자로 문의 주시면 최대한 빨리 응답해 드리겠습니다

😐상품설명

❣ 모델명 : 갤럭시워치4 40MM
❣ 용량 : 16GB
❣ 색상 : 블랙
❣ 구성 : 풀박스
❣ 기능 : 모든 기능 정상
❣ 잔상 : X
❣ 상태 : 미개봉
❣ 금액 : 180,000
❣ 택배 : 가능


💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥


L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다

직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능

* 오후 5시 전 입금 건 당일 택배 발송 *

🎈 월~토 

모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다

★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★

* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞",웨어러블(워치),부산광역시 수영구 광안제1동,https://m.bunjang.co.kr/products/192059860?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
9,갤럭시워치 클래식 42mm 실버 셀룰러,"210,000",7,151,"실착 3회미만 상품입니다 ~
셀룰러 모델이라 개통해서 사용하셔도되고 블루투스사용하셔도 됩니당 
아이폰 쓰고 있어서 판매해요~ 
사진보시면 아시겠지만 착용을 거의 안해서 새상품입니다
박스 충전기 같이 드립니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/192100609?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
